"Worksheet exported from: C:\Users\icpoes\Documents\Agilent\ICP Expert\My Results\roasted_coffees_QC.esws"
"Instrument name",""
"Software version","7.7.0.13059"
"Firmware version",""

""
"Label","Rack:Tube","Type","Measurement","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration % RSD","Intensity SD","Intensity % RSD","%RSE","Weight","Volume","Dilution","Internal Standard","Calibration fit","Correlation coefficient","Background correction","%RSE limit","Calibration Coefficient [1]","Calibration Coefficient [2]","Calibration Coefficient [3]","LIMS ID","Customer","Customer Ref.","Sample Date Time","Sample Site","Description","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3"
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ba 233.527","Ba","","0.00","0.00","ppm","21.77","-","-","2.33","10.69","1.46","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","21.8327540423689","118595.758166904","-","","","","","","","3","0.00","0.00","0.00","19.65","24.26","21.40","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ba 455.403","Ba","","0.00","0.00","ppm","243.89","-","-","35.90","14.72","1.66","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","245.877375861725","2654458.60341707","-","","","","","","","3","0.00","0.00","0.00","228.50","284.92","218.26","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ba 493.408","Ba","","0.00","0.00","ppm","105.39","-","-","3.52","3.34","2.73","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","105.366658265735","2484351.52519671","-","","","","","","","3","0.00","0.00","0.00","107.14","101.34","107.68","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ba 614.171","Ba","","0.00","0.00","ppm","108.84","-","-","51.07","46.92","2.25","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","107.085017114395","1294150.53916722","-","","","","","","","3","0.00","0.00","0.00","165.67","94.02","66.82","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Be 234.861","Be","","0.00","0.00","ppm","15.24","-","-","8.90","58.41","6.36","-","-","-","-","Weighted Linear Through None","0.99998","Fitted","-","13.6489012121675","557200.023427432","-","","","","","","","3","0.00","0.00","0.00","20.18","20.57","4.96","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Be 249.473","Be","","0.00","0.00","ppm","45.02","-","-","12.37","27.47","8.33","-","-","-","-","Weighted Linear Through None","0.99997","Fitted","-","24.0591551655043","23561.4707577952","-","","","","","","","3","0.00","0.00","0.00","40.45","35.59","59.03","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Be 265.062","Be","","0.00","0.00","ppm","11.33","-","-","5.29","46.66","6.94","-","-","-","-","Weighted Linear Through None","0.99997","Fitted","-","-21.9668852890757","7773.59730329364","-","","","","","","","3","0.00","0.00","0.00","11.58","16.50","5.93","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Be 313.042","Be","","0.00","0.00","ppm","563.06","-","-","43.22","7.68","3.42","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","560.580420864678","3193179.22937054","-","","","","","","","3","0.00","0.00","0.00","612.13","546.42","530.63","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Be 313.107","Be","","0.00","0.00","ppm","2.42","-","-","8.42","> 100.00","5.37","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","2.12107621150248","1623189.60192","-","","","","","","","3","0.00","0.00","0.00","-4.88","11.63","0.49","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Bi 190.171","Bi","","0.00","0.00","ppm","3.87","-","-","0.98","25.32","2.52","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","3.59121674783945","662.489877104207","-","","","","","","","3","0.00","0.00","0.00","3.36","3.25","5.00","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Bi 206.163","Bi","","0.00","0.00","ppm","11.39","-","-","1.84","16.17","3.14","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","3.40516074408515","6079.6431971018","-","","","","","","","3","0.00","0.00","0.00","13.29","11.28","9.61","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Bi 222.821","Bi","","0.00","0.00","ppm","30.15","-","-","13.87","46.00","11.12","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","19.4545445354304","1617.60319516582","-","","","","","","","3","0.00","0.00","0.00","45.01","27.90","17.54","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Bi 223.061","Bi","","0.00","0.00","ppm","11.09","-","-","3.53","31.81","7.24","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","5.60166035326417","4426.4199607802","-","","","","","","","3","0.00","0.00","0.00","12.59","13.62","7.06","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Bi 306.771","Bi","","0.00","0.00","ppm","20215.45","-","-","108.38","0.54","36.31","-","-","-","-","Weighted Linear Through None","0.99996","Fitted","-","19815.1470961799","8111.5516277561","-","","","","","","","3","0.00","0.00","0.00","20340.15","20143.97","20162.23","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ca 315.887","Ca","","0.00","0.00","ppm","36.56","-","-","5.45","14.89","19.41","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","52.3428920030827","17677.8612701051","-","","","","","","","3","0.00","0.00","0.00","39.69","39.71","30.27","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ca 317.933","Ca","","0.00","0.00","ppm","170.70","-","-","22.64","13.26","16.89","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","390.68116376014","66028.5225378378","-","","","","","","","3","0.00","0.00","0.00","195.61","165.11","151.38","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ca 393.366","Ca","","0.00","0.00","ppm","8637.11","-","-","27.55","0.32","29.22","-","-","-","-","Weighted Linear Through None","0.99987","Fitted","-","8643.09852172228","3278839.33547221","-","","","","","","","3","0.00","0.00","0.00","8667.49","8630.09","8613.75","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ca 396.847","Ca","","0.00","0.00","ppm","14339.85","-","-","28.48","0.20","24.71","-","-","-","-","Weighted Linear Through None","0.99995","Fitted","-","14343.5467198094","5587238.53730268","-","","","","","","","3","0.00","0.00","0.00","14334.08","14370.77","14314.70","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ca 422.673","Ca","","0.00","0.00","ppm","609.21","-","-","24.76","4.06","9.38","-","-","-","-","Weighted Linear Through None","0.99997","Fitted","-","630.070393845016","259000.249293185","-","","","","","","","3","0.00","0.00","0.00","622.48","624.52","580.64","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cd 214.439","Cd","","0.00","0.00","ppm","10.25","-","-","7.46","72.83","4.36","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","-3.0339231792168","73012.9163119792","-","","","","","","","3","0.00","0.00","0.00","6.05","5.82","18.86","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cd 226.502","Cd","","0.00","0.00","ppm","33.23","-","-","10.39","31.26","3.82","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","24.7159132935387","108785.072040905","-","","","","","","","3","0.00","0.00","0.00","26.14","45.16","28.40","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cd 228.802","Cd","","0.00","0.00","ppm","37.90","-","-","11.72","30.92","6.04","-","-","-","-","Weighted Linear Through None","0.99998","Fitted","-","-113.837552909101","60632.0619840321","-","","","","","","","3","0.00","0.00","0.00","50.63","27.56","35.52","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cd 326.105","Cd","","0.00","0.00","ppm","161.68","-","-","24.34","15.06","18.56","-","-","-","-","Weighted Linear Through None","0.99996","Fitted","-","178.299379811206","1289.36321754988","-","","","","","","","3","0.00","0.00","0.00","179.98","170.99","134.05","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cd 361.051","Cd","","0.00","0.00","ppm","52.55","-","-","12.87","24.49","71.49","-","-","-","-","Weighted Linear Through None","0.99995","Fitted","-","-63.0428991268409","3095.31399801395","-","","","","","","","3","0.00","0.00","0.00","55.91","63.42","38.34","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Co 228.615","Co","","0.00","0.00","ppm","111.95","-","-","11.00","9.83","4.52","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","95.1433973422172","34387.947994769","-","","","","","","","3","0.00","0.00","0.00","124.22","108.67","102.96","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Co 230.786","Co","","0.00","0.00","ppm","15.06","-","-","4.92","32.68","2.93","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","5.06005237048885","29169.7923196409","-","","","","","","","3","0.00","0.00","0.00","14.10","20.39","10.69","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Co 231.160","Co","","0.00","0.00","ppm","12.91","-","-","6.85","53.05","2.55","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","-3.01965813625247","18342.6922904249","-","","","","","","","3","0.00","0.00","0.00","7.48","10.64","20.60","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Co 237.863","Co","","0.00","0.00","ppm","15.42","-","-","13.76","89.20","3.58","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","27.439879287097","40889.9181356556","-","","","","","","","3","0.00","0.00","0.00","28.63","16.46","1.17","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Co 238.892","Co","","0.00","0.00","ppm","8.64","-","-","6.49","75.15","3.75","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","11.6190917205884","32867.2316593313","-","","","","","","","3","0.00","0.00","0.00","13.98","10.51","1.41","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cr 205.560","Cr","","0.00","0.00","ppm","8.51","-","-","3.75","44.08","3.98","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","6.17951254302295","31067.2827689319","-","","","","","","","3","0.00","0.00","0.00","5.35","7.53","12.65","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cr 206.158","Cr","","0.00","0.00","ppm","6.12","-","-","3.81","62.25","3.05","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","0.94129691795348","9367.42533855283","-","","","","","","","3","0.00","0.00","0.00","9.70","2.12","6.53","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cr 206.550","Cr","","0.00","0.00","ppm","15.17","-","-","2.99","19.71","3.41","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","12.8435199835379","21637.7307693486","-","","","","","","","3","0.00","0.00","0.00","14.68","12.46","18.38","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cr 267.716","Cr","","0.00","0.00","ppm","15.83","-","-","9.64","60.92","4.13","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","-2.34993909172056","73245.5048342338","-","","","","","","","3","0.00","0.00","0.00","19.82","4.83","22.83","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cr 283.563","Cr","","0.00","0.00","ppm","953.96","-","-","7.90","0.83","4.70","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","955.992347875022","119974.111662295","-","","","","","","","3","0.00","0.00","0.00","962.45","952.61","946.82","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cs 455.522","Cs","","0.00","0.00","ppm","238.77","-","-","19.61","8.21","14650.02","-","-","-","-","Weighted Linear Through None","0.88674","Fitted","-","168.999430422409","11.1203702027049","-","","","","","","","3","0.00","0.00","0.00","236.16","220.59","259.56","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cs 459.311","Cs","","0.00","0.00","ppm","53.39","-","-","19.95","37.36","489.50","-","-","-","-","Weighted Linear Through None","0.89129","Fitted","-","64.2211477330459","30.422086963777","-","","","","","","","3","0.00","0.00","0.00","75.99","45.93","38.25","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cs 672.328","Cs","","0.00","0.00","ppm","9141.17","-","-","45.71","0.50","2797.87","-","-","-","-","Weighted Linear Through None","0.91018","Fitted","-","9230.81120953896","92.2225359519152","-","","","","","","","3","0.00","0.00","0.00","9167.35","9088.39","9167.78","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cs 697.327","Cs","","0.00","0.00","ppm","66.12","-","-","12.91","19.52","5926.25","-","-","-","-","Weighted Linear Through None","0.90835","Fitted","-","33.3380917130296","11.6252781016192","-","","","","","","","3","0.00","0.00","0.00","66.86","52.86","78.64","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cu 213.598","Cu","","0.00","0.00","ppm","2.09","-","-","1.23","58.94","2.76","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","2.03642227957143","22523.1466945538","-","","","","","","","3","0.00","0.00","0.00","1.42","3.52","1.34","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cu 223.009","Cu","","0.00","0.00","ppm","50.52","-","-","5.26","10.40","8.09","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","58.5641381105161","9624.26553173763","-","","","","","","","3","0.00","0.00","0.00","50.67","55.70","45.19","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cu 224.700","Cu","","0.00","0.00","ppm","13.52","-","-","3.79","28.07","2.90","-","-","-","-","Weighted Linear Through None","1.00000","Fitted","-","15.5369398347876","10565.9821530702","-","","","","","","","3","0.00","0.00","0.00","17.02","14.04","9.49","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cu 324.754","Cu","","0.00","0.00","ppm","743.00","-","-","6.18","0.83","5.40","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","743.590123181281","68610.9877117265","-","","","","","","","3","0.00","0.00","0.00","738.31","750.01","740.69","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Cu 327.395","Cu","","0.00","0.00","ppm","23.73","-","-","14.50","61.11","3.01","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","27.58939085005","54827.5090178264","-","","","","","","","3","0.00","0.00","0.00","28.41","35.32","7.47","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Fe 234.350","Fe","","0.00","0.00","ppm","54.53","-","-","3.34","6.13","4.23","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","46.7407116319258","32963.9579236067","-","","","","","","","3","0.00","0.00","0.00","52.83","58.38","52.39","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Fe 238.204","Fe","","0.00","0.00","ppm","52.43","-","-","8.73","16.65","5.50","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","53.3513346872876","96397.3220406348","-","","","","","","","3","0.00","0.00","0.00","43.90","52.04","61.35","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Fe 239.563","Fe","","0.00","0.00","ppm","12.94","-","-","8.31","64.25","3.86","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","21.5199593737441","16472.4742367202","-","","","","","","","3","0.00","0.00","0.00","21.93","5.53","11.35","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Fe 259.940","Fe","","0.00","0.00","ppm","33.41","-","-","8.75","26.20","4.03","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","11.1624669295022","51630.6474616644","-","","","","","","","3","0.00","0.00","0.00","38.85","38.06","23.31","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Fe 261.187","Fe","","0.00","0.00","ppm","43.99","-","-","8.06","18.33","5.49","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","62.7698303379057","22874.6140319528","-","","","","","","","3","0.00","0.00","0.00","51.21","45.47","35.29","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ga 209.068","Ga","","0.00","0.00","ppm","12.30","-","-","5.43","44.17","180.90","-","-","-","-","Weighted Linear Through None","0.99787","Fitted","-","6.47476462683494","21.3316961983596","-","","","","","","","3","0.00","0.00","0.00","11.26","7.46","18.18","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ga 250.019","Ga","","0.00","0.00","ppm","27.17","-","-","20.55","75.64","14.12","-","-","-","-","Weighted Linear Through None","0.99998","Fitted","-","7.33912840133814","821.387973827382","-","","","","","","","3","0.00","0.00","0.00","32.76","4.40","44.35","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ga 287.423","Ga","","0.00","0.00","ppm","34.91","-","-","16.04","45.94","16.82","-","-","-","-","Weighted Linear Through None","0.99996","Fitted","-","-40.0771055855848","6522.3855241441","-","","","","","","","3","0.00","0.00","0.00","19.10","51.16","34.47","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ga 294.363","Ga","","0.00","0.00","ppm","17.19","-","-","15.18","88.29","8.42","-","-","-","-","Weighted Linear Through None","0.99997","Fitted","-","-55.4216172417862","11736.7550722368","-","","","","","","","3","0.00","0.00","0.00","9.55","7.36","34.68","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","Ga 417.204","Ga","","0.00","0.00","ppm","64.48","-","-","5.09","7.90","10.57","-","-","-","-","Weighted Linear Through None","0.99995","Fitted","-","55.4736144618678","18636.7124937648","-","","","","","","","3","0.00","0.00","0.00","66.68","58.66","68.10","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","In 230.606","In","","0.00","0.00","ppm","13.92","-","-","6.13","44.01","4.63","-","-","-","-","Weighted Linear Through None","0.99999","Fitted","-","6.98020696101736","3302.54091067164","-","","","","","","","3","0.00","0.00","0.00","7.44","19.62","14.70","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","In 303.936","In","","0.00","0.00","ppm","45.41","-","-","3.15","6.94","7.12","-","-","-","-","Weighted Linear Through None","0.99996","Fitted","-","5.44069568498639","2426.67728682737","-","","","","","","","3","0.00","0.00","0.00","44.97","42.50","48.76","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","In 325.609","In","","0.00","0.00","ppm","13.18","-","-","12.86","97.54","11.23","-","-","-","-","Weighted Linear Through None","0.99997","Fitted","-","-17.8552604592492","7226.50608519977","-","","","","","","","3","0.00","0.00","0.00","9.04","2.91","27.60","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","In 410.176","In","","0.00","0.00","ppm","420.55","-","-","34.60","8.23","12.17","-","-","-","-","Weighted Linear Through None","0.99988","Fitted","-","218.74954955397","8981.91511138463","-","","","","","","","3","0.00","0.00","0.00","447.18","381.45","433.01","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","In 451.131","In","","0.00","0.00","ppm","2045.01","-","-","21.02","1.03","46.45","-","-","-","-","Weighted Linear Through None","0.99990","Fitted","-","1982.69748546336","3472.61297854239","-","","","","","","","3","0.00","0.00","0.00","2063.65","2049.16","2022.23","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","K 404.414","K","","0.00","0.00","ppm","-247.99","-","-","184.00","74.20","5174.00","-","-","-","-","Weighted Linear Through None","0.46864","Fitted","-","-2448.34904961979","725.472607898506","-","","","","","","","3","0.00","0.00","0.00","-157.02","-459.75","-127.19","","",""
"Blank","S1:1","BLK","Original","5/6/2025 3:52:01 PM","K 404.721","K","","0.00","0.00","ppm","6.10","-","-","3.40","55.74","137.67","-","-","-","-","Weighted Linear Through None","0.99821","Fitted","-","6.26183673734037","16.5181854076797","-","","","","","","","3","0.00","0.00","0.00","2.24","8.64","7.41","","",""
